Designator,Footprint,Quantity,Value,LCSC Part #
"_6, _5",,2,,
BUZZER1,easyeda2kicad__BUZ-SMD_4P-L8.5-W8.5-P8.50-BR_d8af27ad9a,1,MLT-8530,C94599
"C1, C12",PCM_JLCPCB__C_0402_5b7475e20d,2,10uF,C15525
"C10, C11, C2",PCM_JLCPCB__C_0402_5b7475e20d,3,100nF,C1525
C13,PCM_JLCPCB__C_0402_5b7475e20d,1,22pF,C1555
D2,PCM_JLCPCB__D_SMA_5ba77312ee,1,SS14,C2480
Q2,PCM_JLCPCB__Q_SOT-23_0535f4caa0,1,AO3400A,C20917
"R1, R2",PCM_JLCPCB__R_0805_38555c8e56,2,4.7kΩ,C17673
R12,PCM_JLCPCB__R_0402_50b788cd01,1,100Ω,C25076
R13,PCM_JLCPCB__R_0402_50b788cd01,1,100kΩ,C25741
"R14, R15",PCM_JLCPCB__R_0805_38555c8e56,2,0Ω,C17477
"R3, R4",PCM_JLCPCB__R_0402_50b788cd01,2,10kΩ,C25744
"SW1, SW10, SW11, SW12, SW2, SW3, SW4, SW5, SW6, SW7, SW8, SW9",easyeda2kicad__TS-1187A-B-A-B_2a0d7a9c99,12,TS-1187A-B-A-B,C318884
U1,easyeda2kicad__TCA8418RTWR_3b4f66023a,1,TCA8418RTWR,C138713
