Designator,Mid X,Mid Y,Rotation,Layer
_6,15.0,-52.38279,0.0,bottom
_5,19.0,-52.325109,0.0,bottom
BUZZER1,50.15,-76.9,270.0,top
C1,19.0,-74.5,0.0,top
C10,45.0,-77.0,270.0,top
C11,48.613483,-82.984373,270.0,top
C12,49.729442,-82.999999,270.0,top
C13,45.695998,-82.5,0.0,top
C2,19.0,-76.0,0.0,top
D2,42.5,-75.5,270.0,top
Q2,41.5,-82.5,90.0,top
R1,24.75,-75.5,270.0,top
R12,44.0,-81.5,90.0,top
R13,45.71272,-83.525949,0.0,top
R14,30.0,-73.545,90.0,top
R15,16.0,-73.0,90.0,top
R2,24.75,-80.41,90.0,top
R3,15.984444,-76.170803,0.0,top
R4,22.5,-84.25,0.0,top
SW1,18.0,-89.35,0.0,top
SW10,49.994047,-97.295223,0.0,top
SW11,49.991666,-105.291652,0.0,top
SW12,49.996428,-113.294033,0.0,top
SW2,18.0,-97.307129,0.0,top
SW3,18.0,-105.295075,0.0,top
SW4,18.0,-113.35,0.0,top
SW5,34.007594,-89.311907,0.0,top
SW6,34.002266,-97.298577,0.0,top
SW7,33.999072,-105.297341,0.0,top
SW8,33.993972,-113.294301,0.0,top
SW9,49.994642,-89.297341,0.0,top
U1,18.0,-79.5,0.0,top
